Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 08/14/2020,,Start Date, 08/14/2020,,Start Date, 08/14/2020,
1,Start Time, 16-53-30,,Start Time, 16-55-19,,Start Time, 17-00-07,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P6-3,,Paradigm, P6-3,,Paradigm, P6-3,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1380,,0113,221,,0113,227,
10,Paradigm,G5_P6.3_v2,,Paradigm,G5_P6.3_v2,,Paradigm,G5_P6.3_v2,
11,Trial_Duration,1500,,Trial_Duration,1500,,Trial_Duration,1500,
12,Delay_Window,3000,,Delay_Window,3000,,Delay_Window,3000,
104,8070,1301907,,5521,9241897,,92559,,0.0
105,72519,,0.0,8071,11697275,,92171,208818,
106,82519,,0.0,7529,,0.0,9071,209768,
107,92519,,0.0,8529,,0.0,92170,209769,
108,5521,1322917,,9529,,0.0,82271,209769,
109,8071,1328943,,5520,11697276,,82270,209842,
110,7529,,0.0,8070,11697389,,9070,209890,
111,8529,,0.0,8071,11697434,,8071,210209,
112,9529,,0.0,8070,11697597,,82170,212770,
113,5520,1328944,,8071,11697668,,72549,,0.0
114,8070,1329750,,8070,11697798,,82549,,1.0
115,72559,,0.0,72559,,0.0,92549,,0.0
116,82559,,0.0,82559,,2.0,8070,229504,
117,92559,,0.0,92559,,0.0,9071,230670,
118,92171,1331944,,92171,121700276,,9070,230755,
119,92540,1333445,,9071,121700883,,9071,230906,
120,72519,,0.0,92170,121700883,,9070,231764,
121,82519,,0.0,82271,121700883,,8071,2251999,
122,92519,,0.0,82270,121700956,,8070,252601,
123,5521,1367445,,9070,121700959,,72519,,0.0
124,8071,1369563,,8071,121701293,,82519,,1.0
125,7529,,0.0,8070,121703842,,92519,,2.0
126,8529,,0.0,82170,121703884,,5521,272770,
127,9529,,0.0,72549,,0.0,8071,324259,
128,5520,1369564,,82549,,1.0,7529,,0.0
129,8070,1369740,,92549,,0.0,8529,,0.0
130,72559,,0.0,8071,121714013,,9529,,0.0
131,82559,,0.0,8070,121716104,,5520,324259,
132,92559,,0.0,72519,,0.0,8070,324749,
133,72171,1372564,,82519,,1.0,7071,326447,
134,8071,1372665,,92519,,0.0,7070,326861,
135,72160,1372665,,5521,11737884,,72559,,1.0
136,8070,1373103,,8071,14326138,,82559,,0.0
137,72519,,0.0,7529,,0.0,92559,,0.0
138,82519,,0.0,8529,,0.0,92171,327259,
139,92519,,0.0,9529,,0.0,92540,328760,
140,5521,1402667,,5520,14326139,,9071,330826,
141,8071,3579868,,8070,14326590,,9070,331400,
142,7529,,0.0,72559,,0.0,9071,331943,
143,8529,,0.0,82559,,0.0,9070,332177,
144,9529,,0.0,92559,,0.0,9071,332226,
145,5520,3579869,,72171,14329139,,9070,332380,
146,8070,3579986,,72540,14330640,,9071,332426,
147,72559,,0.0,7071,14330771,,9070,332473,
148,82559,,0.0,7070,14330846,,9071,332542,
149,92559,,0.0,7071,14331244,,9070,332609,
150,92171,3582869,,7070,14331343,,9071,332649,
151,9071,3583475,,7071,14331445,,9070,332694,
152,92170,3583475,,7070,14333452,,9071,334520,
153,82271,3583476,,7071,14334632,,9070,334553,
154,82270,35832549,,7070,14335054,,9071,335581,
155,9070,3583707,,8071,14337599,,9070,335640,
156,8071,3584084,,8070,14338323,,9071,335675,
157,82170,3586477,,72519,,4.0,9070,336108,
158,72549,,0.0,82519,,1.0,9071,336673,
159,82549,,1.0,92519,,0.0,9070,338182,
160,92549,,0.0,5521,14360640,,9071,339361,
161,8070,3592580,,8071,14860083,,9070,339389,
162,8071,3635879,,7529,,0.0,9071,339433,
163,8070,3636957,,8529,,0.0,9070,339758,
164,8071,3639002,,9529,,0.0,8071,343060,
165,8070,3639380,,5520,14860084,,8070,343215,
166,8071,3641508,,8070,14860453,,72519,,0.0
167,8070,3641568,,72559,,0.0,82519,,1.0
168,8071,3641632,,82559,,0.0,92519,,12.0
169,8070,3642225,,92559,,0.0,5521,383760,
170,72519,,0.0,92171,14863084,,8071,591611,
171,82519,,4.0,92540,14864585,,7529,,0.0
172,92519,,0.0,72519,,0.0,8529,,0.0
173,5521,3643478,,82519,,0.0,9529,,0.0
174,9071,3644406,,92519,,0.0,5520,591611,
175,9070,3644735,,5521,14921585,,8070,591662,
176,8071,3645674,,8071,217056495,,72559,,0.0
177,7529,,0.0,7529,,0.0,82559,,0.0
178,8529,,0.0,8529,,0.0,92559,,0.0
179,9529,,1.0,9529,,0.0,72171,594611,
180,5520,3645675,,5520,217056496,,72540,596112,
