Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 08/07/2020,,Start Date, 08/07/2020,,Start Date, 08/07/2020,
1,Start Time, 16-59-03,,Start Time, 16-59-18,,Start Time, 16-59-27,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P4,,Paradigm, P4,,Paradigm, P4,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1328,,0113,239,,0113,230,
10,Paradigm,G5_P4_v3,,Paradigm,G5_P4_v3,,Paradigm,G5_P4_v3,
11,7070,0,,7070,0,,7070,0,
12,8070,0,,8070,0,,8070,0,
13,9070,0,,9070,0,,9070,0,
14,5521,0,,5521,0,,5521,0,
15,8071,564745,,9071,158371,,8071,347550,
16,7529,,0.0,9070,158657,,7529,,0.0
17,8529,,0.0,8071,159389,,8529,,0.0
18,9529,,0.0,7529,,0.0,9529,,0.0
19,5520,564745,,8529,,0.0,5520,347551,
20,92171,564746,,9529,,1.0,72171,347552,
21,8070,564904,,5520,159389,,8070,347572,
22,9071,565699,,92171,159390,,8071,347640,
23,92170,565699,,8070,159634,,8070,347670,
24,72589,,0.0,9071,2160148,,9071,348314,
25,82589,,0.0,92170,2160148,,9070,348341,
26,92589,,0.0,72589,,0.0,7071,358262,
27,82271,565700,,82589,,0.0,72170,358263,
28,82270,565773,,92589,,0.0,72589,,0.0
29,9070,565790,,82271,2160149,,82589,,1.0
30,8071,566376,,9070,2160203,,92589,,1.0
31,82170,568701,,82270,2160222,,82271,358263,
32,72549,,0.0,8071,2160506,,7070,358297,
33,82549,,1.0,82170,163150,,7071,358322,
34,92549,,0.0,72549,,0.0,82270,358336,
35,8070,569408,,82549,,1.0,7070,358358,
36,72519,,0.0,92549,,0.0,7071,358385,
37,82519,,0.0,8070,163444,,7070,358641,
38,92519,,0.0,72519,,0.0,8071,359330,
39,5521,608701,,82519,,0.0,82170,361264,
40,8071,611263,,92519,,0.0,72549,,2.0
41,7529,,0.0,5521,210150,,82549,,1.0
42,8529,,0.0,8071,7532540,,92549,,0.0
43,9529,,0.0,7529,,0.0,8070,362326,
44,5520,611264,,8529,,0.0,8071,362352,
45,72171,611265,,9529,,0.0,8070,363721,
46,8070,611381,,5520,753541,,8071,365343,
47,7071,612251,,92171,753542,,8070,365485,
48,72170,612251,,8070,753687,,8071,365547,
49,72589,,0.0,8071,753744,,8070,365831,
50,82589,,0.0,8070,753836,,72519,,0.0
51,92589,,0.0,9071,754621,,82519,,3.0
52,82271,612252,,92170,754621,,92519,,0.0
53,7070,612295,,72589,,0.0,5521,393264,
54,82270,612325,,82589,,1.0,8071,449633,
55,8071,6122714,,92589,,0.0,7529,,0.0
56,82170,615254,,82271,754622,,8529,,0.0
57,72549,,0.0,9070,754638,,9529,,0.0
58,82549,,1.0,82270,754695,,5520,449634,
59,92549,,0.0,8071,755068,,72171,449635,
60,8070,616257,,8070,757437,,8070,449724,
61,72519,,0.0,8071,757531,,8071,449753,
62,82519,,0.0,82170,757623,,8070,449802,
63,92519,,0.0,72549,,0.0,7071,454823,
64,5521,645254,,82549,,2.0,72170,454823,
65,8071,715425,,92549,,0.0,72589,,0.0
66,7529,,0.0,8070,757870,,82589,,1.0
67,8529,,0.0,72519,,0.0,92589,,0.0
68,9529,,0.0,82519,,0.0,82271,454824,
69,5520,715426,,92519,,0.0,82270,454897,
70,72171,715427,,5521,794624,,7070,455342,
71,8070,715544,,8071,3726992,,8071,455835,
72,7071,7216082,,7529,,0.0,8070,455889,
73,72170,7216083,,8529,,0.0,8071,4255994,
74,72589,,0.0,9529,,0.0,82170,457825,
75,82589,,0.0,5520,3726992,,72549,,0.0
76,92589,,0.0,72171,3726993,,82549,,2.0
77,82271,7216083,,8070,37227152,,92549,,0.0
78,7070,716119,,8071,3733591,,8070,461968,
79,82270,716156,,8070,3733740,,7071,464342,
80,8071,7162519,,8071,3734448,,7070,464524,
81,82170,719084,,8070,3734867,,72519,,1.0
82,72549,,0.0,9071,3737882,,82519,,0.0
83,82549,,1.0,9070,3738340,,92519,,0.0
84,92549,,0.0,7071,3776228,,5521,507825,
85,8070,719734,,72170,3776229,,8071,538823,
86,72519,,0.0,72589,,0.0,7529,,0.0
87,82519,,0.0,82589,,2.0,8529,,0.0
88,92519,,0.0,92589,,1.0,9529,,0.0
89,5521,770084,,82271,3776230,,5520,538824,
90,8071,838211,,7070,3776291,,72171,538825,
91,7529,,0.0,82270,3776303,,8070,538883,
92,8529,,0.0,8071,3776752,,7071,544509,
93,9529,,0.0,8070,3776836,,72170,544509,
94,5520,838211,,8071,3776927,,72589,,0.0
95,92171,838212,,8070,3779123,,82589,,0.0
96,8070,838278,,82170,3779231,,92589,,0.0
97,9071,838708,,72549,,0.0,82271,544510,
98,92170,838708,,82549,,2.0,82270,544583,
99,72589,,0.0,92549,,0.0,7070,544820,
100,82589,,0.0,7071,3782993,,8071,545257,
101,92589,,0.0,7070,3782998,,8070,545297,
102,82271,838709,,8071,3788906,,8071,545434,
103,9070,838729,,8070,3789009,,82170,547511,
104,82270,838782,,8071,3789037,,72549,,0.0
105,8071,839207,,8070,3789934,,82549,,2.0
106,82170,8421710,,72519,,1.0,92549,,0.0
107,72549,,0.0,82519,,2.0,8070,554322,
108,82549,,1.0,92519,,0.0,7071,557767,
109,92549,,0.0,5521,3834231,,7070,557972,
110,8070,842652,,8071,3839416,,7071,558005,
111,72519,,0.0,7529,,0.0,7070,558095,
