Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 08/03/2020,,Start Date, 08/03/2020,,Start Date, 08/03/2020,
1,Start Time, 17-56-54,,Start Time, 17-57-14,,Start Time, 17-57-21,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P3,,Paradigm, P3,,Paradigm, P3,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1360,,0113,239,,0113,228,
10,Paradigm,G5_P3_v3,,Paradigm,G5_P3_v3,,Paradigm,G5_P3_v3,
11,7070,0,,7070,0,,7070,0,
12,8070,0,,8070,0,,8070,0,
13,9070,0,,9070,0,,9070,0,
14,5521,0,,5521,0,,5521,0,
15,8071,3872004,,8071,4361820,,8071,6565340,
16,7529,,0.0,7529,,0.0,7529,,0.0
17,8529,,0.0,8529,,0.0,8529,,0.0
18,9529,,0.0,9529,,0.0,9529,,0.0
19,5520,3872005,,5520,4361821,,5520,6565341,
20,62171,3872006,,62171,4361822,,62171,6565342,
21,8070,3872074,,8070,4362314,,8070,6565525,
22,9071,3874437,,8071,4362613,,9071,6566220,
23,92170,3874438,,8070,4363086,,92170,6566220,
24,72589,,0.0,8071,4363181,,72589,,0.0
25,82589,,0.0,8070,4364986,,82589,,0.0
26,92589,,0.0,7071,4366621,,92589,,0.0
27,82271,3874439,,72170,4366622,,82271,6566221,
28,9070,3874480,,72589,,0.0,82270,6566294,
29,82270,3874512,,82589,,2.0,9070,6566496,
30,8071,3875362,,92589,,0.0,8071,6567241,
31,8070,3875471,,82271,4366623,,8070,6569177,
32,8071,3875648,,7070,4366676,,82170,6569222,
33,82170,3877440,,82270,4366696,,72549,,0.0
34,72549,,0.0,8071,4367408,,82549,,1.0
35,82549,,2.0,82170,4369624,,92549,,0.0
36,92549,,0.0,72549,,0.0,72519,,0.0
37,8070,3877979,,82549,,1.0,82519,,0.0
38,72519,,0.0,92549,,0.0,92519,,0.0
39,82519,,0.0,8070,4369996,,5521,6626222,
40,92519,,0.0,72519,,0.0,8071,6638764,
41,5521,3917440,,82519,,0.0,7529,,0.0
42,8071,3918507,,92519,,0.0,8529,,0.0
43,7529,,0.0,5521,4401624,,9529,,0.0
44,8529,,0.0,8071,4448653,,5520,6638765,
45,9529,,0.0,7529,,0.0,62171,6638766,
46,5520,3918508,,8529,,0.0,8070,6638955,
47,62171,3918509,,9529,,0.0,9071,6639475,
48,8070,3918931,,5520,4448654,,92170,6639475,
49,7071,3921514,,62171,4448655,,72589,,0.0
50,72170,3921515,,8070,4448873,,82589,,0.0
51,72589,,0.0,7071,4451288,,92589,,0.0
52,82589,,0.0,72170,4451289,,82271,6639476,
53,92589,,0.0,72589,,0.0,82270,66392549,
54,82271,3921516,,82589,,0.0,9070,6639635,
55,82270,39212589,,92589,,0.0,8071,6640148,
56,7070,3921694,,82271,4451290,,8070,6641837,
57,8071,3922094,,82270,4451363,,82170,6642477,
58,82170,3924517,,7070,4451513,,72549,,0.0
59,72549,,0.0,8071,4451819,,82549,,1.0
60,82549,,1.0,8070,4451834,,92549,,0.0
61,92549,,0.0,8071,4451852,,72519,,0.0
62,8070,3925137,,82170,4454291,,82519,,0.0
63,72519,,0.0,72549,,0.0,92519,,0.0
64,82519,,0.0,82549,,2.0,5521,6693477,
65,92519,,0.0,92549,,0.0,8071,6849862,
66,5521,3954518,,8070,4454443,,7529,,0.0
67,8071,3960214,,8071,4454635,,8529,,0.0
68,7529,,0.0,8070,4454731,,9529,,0.0
69,8529,,0.0,72519,,0.0,5520,6849863,
70,9529,,0.0,82519,,1.0,62171,6849864,
71,5520,3960215,,92519,,0.0,8070,6849923,
72,62171,3960216,,5521,4486291,,9071,6850528,
73,8070,3960380,,8071,4488943,,92170,6850529,
74,7071,3961308,,7529,,0.0,72589,,0.0
75,72170,3961309,,8529,,0.0,82589,,0.0
76,72589,,0.0,9529,,0.0,92589,,0.0
77,82589,,0.0,5520,4488944,,82271,6850529,
78,92589,,0.0,62171,4488945,,82270,6850603,
79,82271,3961310,,8070,4488995,,9070,6850678,
80,82270,3961383,,9071,4489771,,8071,6851203,
81,7070,3961495,,92170,4489772,,8070,6852757,
82,8071,3961925,,72589,,0.0,82170,6853530,
83,82170,3964311,,82589,,0.0,72549,,0.0
84,72549,,0.0,92589,,0.0,82549,,1.0
85,82549,,1.0,82271,4489772,,92549,,0.0
86,92549,,0.0,9070,4489807,,72519,,0.0
87,8070,3964705,,82270,4489845,,82519,,0.0
88,72519,,0.0,8071,4490238,,92519,,0.0
89,82519,,0.0,8070,4490603,,5521,6893530,
90,92519,,0.0,8071,4490631,,8071,6931304,
91,5521,4015311,,8070,4490696,,7529,,0.0
92,8071,4163627,,8071,4490719,,8529,,0.0
93,7529,,0.0,8070,4492652,,9529,,0.0
94,8529,,0.0,8071,4492681,,5520,6931305,
95,9529,,0.0,82170,4492773,,62171,6931306,
96,5520,4163627,,72549,,0.0,8070,6931435,
97,62171,4163628,,82549,,4.0,9071,6932365,
98,8070,4163822,,92549,,0.0,92170,6932366,
99,7071,4165573,,8070,4492972,,72589,,0.0
100,72170,4165574,,8071,4493078,,82589,,0.0
101,72589,,0.0,8070,4493524,,92589,,0.0
102,82589,,0.0,8071,4494066,,82271,6932367,
103,92589,,0.0,8070,4494095,,82270,6932440,
104,82271,4165574,,8071,4494143,,9070,6932491,
105,82270,4165647,,8070,4495238,,8071,6933128,
106,7070,4165721,,9071,4496653,,82170,6935368,
