Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 08/12/2020,,Start Date, 08/12/2020,,Start Date, 08/12/2020,
1,Start Time, 16-37-46,,Start Time, 16-38-01,,Start Time, 16-38-09,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P5-5,,Paradigm, P5-5,,Paradigm, P5-5,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1310,,0113,228,,0113,230,
10,Paradigm,G5_P5.5_v2,,Paradigm,G5_P5.5_v2,,Paradigm,G5_P5.5_v2,
11,Trial_Duration,1500,,Trial_Duration,1500,,Trial_Duration,1500,
12,Delay_Window,1,,Delay_Window,1,,Delay_Window,1,
13,7070,1,,7070,1,,7070,1,
14,8070,1,,8070,1,,8070,1,
15,9070,1,,9070,1,,9070,1,
16,5521,1,,5521,1,,5521,1,
17,8071,2157741,,8071,293006,,8071,5614721,
18,7529,,0.0,7529,,0.0,7529,,0.0
19,8529,,0.0,8529,,0.0,8529,,0.0
20,9529,,0.0,9529,,0.0,9529,,0.0
21,5520,2157741,,5520,293007,,5520,5614722,
22,92171,2157742,,92171,293008,,92171,5614723,
23,8070,2157892,,8070,293137,,8070,5614780,
24,9071,2158417,,9071,294006,,9071,5615640,
25,92170,2158417,,92170,294006,,92170,5615640,
26,82271,2158418,,82271,294007,,82271,5615641,
27,82270,2158491,,9070,294057,,9070,5615710,
28,9070,2158594,,82270,294080,,82270,5615714,
29,8071,2159033,,9071,294238,,8071,56216050,
30,82170,2161419,,9070,294257,,82170,5618642,
31,72549,,0.0,8071,294525,,72549,,0.0
32,82549,,1.0,82170,297008,,82549,,1.0
33,92549,,0.0,72549,,0.0,92549,,0.0
34,8070,2165221,,82549,,1.0,8070,5622537,
35,72519,,0.0,92549,,1.0,72519,,0.0
36,82519,,0.0,8070,297252,,82519,,0.0
37,92519,,0.0,8071,298651,,92519,,0.0
38,5521,2206419,,8070,299028,,5521,5675642,
39,8071,2223913,,72519,,0.0,8071,10510148,
40,7529,,0.0,82519,,1.0,7529,,0.0
41,8529,,0.0,92519,,0.0,8529,,0.0
42,9529,,0.0,5521,344008,,9529,,0.0
43,5520,2223915,,8071,791776,,5520,10510149,
44,72171,2223916,,7529,,0.0,72171,10510150,
45,8070,2224066,,8529,,0.0,8070,10510392,
46,7071,2224620,,9529,,0.0,72540,10511651,
47,72170,2224620,,5520,791777,,7071,10512054,
48,82271,2224621,,92171,791778,,7070,10512110,
49,7070,2224655,,8070,791810,,8071,10512580,
50,82270,2224694,,9071,792947,,8070,10512814,
51,8071,2225084,,92170,792948,,7071,10513441,
52,82170,2227622,,82271,792948,,7070,10513623,
53,72549,,0.0,9070,793019,,72519,,2.0
54,82549,,1.0,82270,793021,,82519,,1.0
55,92549,,0.0,8071,793377,,92519,,0.0
56,8070,2230950,,82170,795949,,5521,10562651,
57,72519,,0.0,72549,,0.0,8071,10565231,
58,82519,,0.0,82549,,1.0,7529,,0.0
59,92519,,0.0,92549,,0.0,8529,,0.0
60,5521,2264622,,8070,796484,,9529,,0.0
61,8071,2273785,,72519,,0.0,5520,10565231,
62,7529,,0.0,82519,,0.0,72171,10565232,
63,8529,,0.0,92519,,0.0,8070,10565293,
64,9529,,0.0,5521,832949,,7071,10566205,
65,5520,2273786,,8071,2165098,,72170,10566206,
66,92171,2273787,,7529,,0.0,82271,10566206,
67,8070,2273942,,8529,,0.0,7070,10566267,
68,9071,2274620,,9529,,0.0,82270,10566279,
69,92170,2274620,,5520,2165099,,8071,10566566,
70,82271,2274621,,72171,2165100,,82170,10569207,
71,9070,2274631,,8070,2165297,,72549,,0.0
72,9071,2274663,,8071,2165353,,82549,,1.0
73,82270,2274694,,72160,2165353,,92549,,0.0
74,9070,2274720,,8070,2165360,,8070,10574032,
75,8071,2275090,,8071,2165415,,8071,10574090,
76,82170,2277622,,8070,2165620,,8070,10574657,
77,72549,,0.0,8071,2167049,,8071,10574679,
78,82549,,1.0,8070,2167485,,8070,10574738,
79,92549,,1.0,72519,,0.0,8071,10575088,
80,8070,2282934,,82519,,2.0,8070,10575352,
81,72519,,0.0,92519,,0.0,8071,10575436,
82,82519,,0.0,5521,2220354,,8070,10575550,
83,92519,,0.0,8071,5393913,,8071,10575610,
84,5521,2314622,,7529,,0.0,8070,10575672,
85,8071,2495884,,8529,,0.0,8071,10575889,
86,7529,,0.0,9529,,0.0,8070,10575928,
87,8529,,0.0,5520,5393914,,8071,10575972,
88,9529,,0.0,72171,5393915,,8070,10576332,
89,5520,2495884,,8070,5394021,,72519,,0.0
90,92171,2495885,,7071,5394820,,82519,,7.0
91,8070,2496276,,72170,5394820,,92519,,0.0
92,9071,2496807,,82271,5394821,,5521,10609207,
93,92170,2496808,,82270,5394894,,8071,10610381,
94,82271,2496808,,7070,5394952,,7529,,0.0
95,9070,2496829,,8071,5395244,,8529,,0.0
96,82270,2496881,,82170,5397822,,9529,,0.0
97,8071,2497402,,72549,,0.0,5520,10610382,
98,82170,2499809,,82549,,1.0,92171,10610383,
99,72549,,0.0,92549,,0.0,8070,10610516,
100,82549,,1.0,8070,5398419,,9071,10611643,
101,92549,,0.0,72519,,0.0,92170,10611644,
102,8070,2506276,,82519,,0.0,82271,10611644,
103,8071,2531542,,92519,,0.0,82270,106121717,
104,8070,2531799,,5521,5429822,,9070,10611776,
105,72519,,0.0,8071,5518194,,8071,10612125,
106,82519,,1.0,7529,,0.0,82170,10614645,
