Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 08/10/2020,,Start Date, 08/10/2020,,Start Date, 08/10/2020,
1,Start Time, 17-00-48,,Start Time, 17-01-03,,Start Time, 17-01-10,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P5,,Paradigm, P5,,Paradigm, P5,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1400,,0113,224,,0113,227,
10,Paradigm,G5_P5_v2,,Paradigm,G5_P5_v2,,Paradigm,G5_P5_v2,
11,Trial_Duration,5000,,Trial_Duration,5000,,Trial_Duration,5000,
12,Delay_Window,1,,Delay_Window,1,,Delay_Window,1,
13,7070,1,,7070,1,,7070,1,
14,8070,1,,8070,1,,8070,1,
15,9070,1,,9070,1,,9070,1,
16,5521,1,,5521,1,,5521,1,
17,8071,3526063,,8071,2731679,,8071,9640051,
18,7529,,0.0,7529,,0.0,7529,,0.0
19,8529,,0.0,8529,,0.0,8529,,0.0
20,9529,,0.0,9529,,0.0,9529,,0.0
21,5520,3526063,,5520,2731679,,5520,9640052,
22,92171,3526064,,72171,2731680,,72171,9640053,
23,8070,3526182,,8070,2731952,,8070,9640380,
24,9071,35227136,,7071,2732655,,7071,9641313,
25,92170,35227136,,72170,2732655,,72170,9641314,
26,82271,35227137,,82271,2732655,,82271,9641314,
27,82270,3527211,,82270,2732728,,82270,9641387,
28,9070,3527234,,7070,2732815,,7070,9641435,
29,8071,3527653,,8071,2733408,,8071,9641884,
30,82170,3530138,,82170,2735656,,8070,9644280,
31,72549,,0.0,72549,,0.0,82170,9644315,
32,82549,,1.0,82549,,1.0,72549,,0.0
33,92549,,0.0,92549,,0.0,82549,,1.0
34,8070,3531885,,8070,2736005,,92549,,0.0
35,8071,3560695,,9071,2747780,,72519,,0.0
36,8070,3560927,,9070,2748311,,82519,,0.0
37,8071,3561031,,72519,,0.0,92519,,0.0
38,8070,3561526,,82519,,0.0,5521,9676315,
39,72519,,0.0,92519,,1.0,8071,9696561,
40,82519,,2.0,5521,2767656,,7529,,0.0
41,92519,,0.0,8071,2780222,,8529,,0.0
42,5521,3575138,,7529,,0.0,9529,,0.0
43,8071,3701888,,8529,,0.0,5520,9696562,
44,7529,,0.0,9529,,0.0,72171,9696563,
45,8529,,0.0,5520,2780223,,8070,9696856,
46,9529,,0.0,92171,2780224,,7071,9697473,
47,5520,3701889,,8070,2780400,,72170,9697473,
48,72171,3701890,,9071,2780874,,82271,9697474,
49,8070,3701899,,92170,2780875,,82270,9697547,
50,7071,3702413,,82271,2780875,,7070,9697613,
51,72170,3702413,,82270,2780948,,8071,9697981,
52,82271,3702414,,9070,2781021,,82170,9700475,
53,7070,3702443,,8071,2781365,,72549,,0.0
54,82270,3702487,,82170,2783876,,82549,,1.0
55,8071,3702800,,72549,,0.0,92549,,0.0
56,82170,3705415,,82549,,1.0,8070,9701572,
57,72549,,0.0,92549,,0.0,72519,,0.0
58,82549,,1.0,8070,2783931,,82519,,0.0
59,92549,,0.0,8071,2783973,,92519,,0.0
60,8070,3714329,,8070,2784010,,5521,9750475,
61,72519,,0.0,8071,2787088,,8071,9782795,
62,82519,,0.0,8070,2787207,,7529,,0.0
63,92519,,0.0,8071,2787277,,8529,,0.0
64,5521,3742415,,8070,2787684,,9529,,0.0
65,8071,3786076,,8071,2787970,,5520,9782796,
66,7529,,0.0,8070,2788002,,72171,9782797,
67,8529,,0.0,72519,,0.0,8070,9783117,
68,9529,,0.0,82519,,4.0,7071,9783648,
69,5520,3786077,,92519,,0.0,72170,9783648,
70,92171,3786078,,5521,2815876,,82271,9783649,
71,8070,3786177,,8071,2847770,,82270,9783723,
72,9071,3787893,,7529,,0.0,7070,9783736,
73,92170,3787894,,8529,,0.0,8071,9784102,
74,82271,3787894,,9529,,0.0,82170,9786650,
75,82270,3787967,,5520,2847771,,72549,,0.0
76,9070,3788070,,72171,2847772,,82549,,1.0
77,8071,3788427,,8070,2847841,,92549,,0.0
78,82170,3790895,,7071,2848193,,8070,9788902,
79,72549,,0.0,72170,2848193,,72519,,0.0
80,82549,,1.0,82271,2848194,,82519,,0.0
81,92549,,0.0,82270,2848267,,92519,,0.0
82,8070,3801908,,7070,2848312,,5521,9816650,
83,8071,3818445,,8071,2848634,,7071,9819418,
84,8070,3818914,,8070,2850753,,7070,9819489,
85,72519,,0.0,82170,2851195,,8071,9819860,
86,82519,,1.0,72549,,0.0,7529,,1.0
87,92519,,0.0,82549,,1.0,8529,,0.0
88,5521,3827895,,92549,,0.0,9529,,0.0
89,8071,3829078,,72519,,0.0,5520,9819862,
90,7529,,0.0,82519,,0.0,92171,9819863,
91,8529,,0.0,92519,,0.0,8070,9820173,
92,9529,,0.0,5521,2901195,,9071,9820764,
93,5520,3829079,,8071,6555766,,92170,9820765,
94,92171,3829080,,7529,,0.0,82271,9820765,
95,8070,3829429,,8529,,0.0,82270,9820838,
96,9071,3830149,,9529,,0.0,9070,9820858,
97,92170,3830149,,5520,6555766,,8071,9821198,
98,82271,3830150,,92171,6555767,,82170,9823766,
99,82270,3830223,,8070,65525899,,72549,,0.0
100,9070,3830320,,8071,6557984,,82549,,1.0
101,8071,3830810,,92160,6557985,,92549,,0.0
102,82170,3833151,,8070,6558059,,8070,9832029,
103,72549,,0.0,8071,6558107,,72519,,0.0
104,82549,,1.0,8070,6558760,,82519,,0.0
105,92549,,0.0,8071,62559364,,92519,,0.0
