Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 08/01/2020,,Start Date, 08/01/2020,,Start Date, 08/01/2020,
1,Start Time, 17-49-11,,Start Time, 17-49-38,,Start Time, 17-49-50,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P2,,Paradigm, P2,,Paradigm, P2,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1200,,0113,223,,0113,228,
10,Paradigm, G5_P2,,Paradigm, G5_P2,,Paradigm, G5_P2,
11,7070,0,,7070,0,,7070,0,
12,8070,0,,8070,0,,8070,0,
13,9070,0,,9070,0,,9070,0,
14,5521,0,,5521,0,,5521,0,
15,7071,3911789,,9071,4579472,,9071,8177939,
16,7529,,0.0,7529,,0.0,7529,,0.0
17,8529,,0.0,8529,,0.0,8529,,0.0
18,9529,,0.0,9529,,0.0,9529,,0.0
19,5520,3911790,,5520,4579473,,5520,8177940,
20,82171,3911790,,82171,4579474,,82171,8177940,
21,82271,3911790,,82271,4579474,,82271,8177940,
22,82270,3911863,,82270,4579547,,9070,8177976,
23,7070,3912077,,9070,4579606,,9071,8177990,
24,8071,3913046,,8071,4580071,,82270,8178013,
25,82170,3914791,,8070,4580131,,9070,8178043,
26,8070,3916913,,8071,4580174,,8071,8179053,
27,72519,,0.0,82170,4582475,,82170,8180941,
28,82519,,0.0,8070,4583033,,8070,8181282,
29,92519,,0.0,8071,4583158,,72519,,0.0
30,5521,3971791,,8070,4583699,,82519,,0.0
31,7071,7441974,,72519,,0.0,92519,,0.0
32,7529,,0.0,82519,,1.0,5521,8217942,
33,8529,,0.0,92519,,0.0,9071,8248731,
34,9529,,0.0,5521,4629475,,7529,,0.0
35,5520,7441974,,8071,4636448,,8529,,0.0
36,82171,7441975,,8070,4636547,,9529,,0.0
37,82271,7441975,,9071,4638476,,5520,8248731,
38,82270,7442048,,7529,,0.0,82171,8248732,
39,7070,7442118,,8529,,1.0,82271,8248732,
40,8071,7442983,,9529,,0.0,9070,8248764,
41,82170,7444976,,5520,4638477,,82270,8248805,
42,8070,7446249,,82171,4638477,,9071,8249031,
43,72519,,0.0,82271,4638477,,9070,8249231,
44,82519,,0.0,82270,4638550,,8071,8250098,
45,92519,,0.0,9070,4638668,,82170,8251734,
46,5521,7489976,,8071,4639353,,8070,82251944,
47,7071,74925495,,82170,4641478,,72519,,0.0
48,7529,,0.0,8070,4642257,,82519,,0.0
49,8529,,0.0,8071,4642598,,92519,,0.0
50,9529,,0.0,8070,4643760,,5521,8288734,
51,5520,74925496,,7071,4668754,,9071,8381218,
52,82171,74925496,,7070,4668904,,7529,,0.0
53,82271,74925496,,7071,4676646,,8529,,0.0
54,7070,7495507,,7070,4676890,,9529,,0.0
55,7071,7495521,,72519,,2.0,5520,8381219,
56,82270,7495569,,82519,,1.0,82171,8381219,
57,7070,7495671,,92519,,0.0,82271,8381219,
58,8071,7496258,,5521,4678478,,82270,8381292,
59,82170,7498497,,7071,4679779,,9070,8381596,
60,8070,7501728,,7529,,0.0,8071,8382620,
61,72519,,0.0,8529,,0.0,82170,8384220,
62,82519,,0.0,9529,,0.0,8070,8384795,
63,92519,,0.0,5520,4679780,,8071,8385649,
64,5521,7543497,,82171,4679780,,8070,8385691,
65,7071,7564109,,82271,4679780,,8071,8385788,
66,7529,,0.0,82270,4679853,,8070,8385822,
67,8529,,0.0,7070,4679941,,8071,8385879,
68,9529,,0.0,8071,4680627,,8070,8386146,
69,5520,7564110,,82170,4682781,,8071,8386172,
70,82171,7564110,,8070,4682985,,8070,8386275,
71,82271,7564110,,8071,4683176,,8071,8386308,
72,82270,7564183,,8070,4684359,,8070,8386392,
73,7070,7564311,,8071,4684437,,8071,8386451,
74,8071,7564851,,8070,4684551,,8070,8387403,
75,82170,7567111,,8071,4684698,,8071,8388892,
76,8070,7568067,,8070,4685297,,8070,8388954,
77,72519,,0.0,8071,4685506,,8071,8389027,
78,82519,,0.0,8070,4685609,,8070,8389857,
79,92519,,0.0,8071,4685843,,72519,,0.0
80,5521,7599111,,8070,4686146,,82519,,8.0
81,8071,7729861,,7071,4687501,,92519,,0.0
82,8070,7730004,,7070,4688056,,5521,8416220,
83,7071,7730734,,7071,4688126,,9071,8428860,
84,7529,,0.0,7070,4688324,,7529,,0.0
85,8529,,1.0,72519,,2.0,8529,,0.0
86,9529,,0.0,82519,,5.0,9529,,0.0
87,5520,7730734,,92519,,0.0,5520,8428861,
88,82171,7730735,,5521,4737781,,82171,8428861,
89,82271,7730735,,7071,4739680,,82271,8428861,
90,7070,7730768,,7529,,0.0,82270,8428934,
91,82270,7730808,,8529,,0.0,9070,8429754,
92,8071,7731477,,9529,,0.0,8071,8431155,
93,82170,7733736,,5520,4739681,,82170,8431862,
94,8070,7735660,,82171,4739681,,8070,8435447,
95,72519,,0.0,82271,4739681,,9071,8436312,
96,82519,,0.0,7070,4739707,,9070,8437213,
97,92519,,0.0,82270,4739755,,9071,8437281,
98,5521,7788736,,8071,4740148,,9070,8437847,
99,7071,7846185,,82170,4742682,,9071,8438149,
100,7529,,0.0,8070,4743120,,9070,8438330,
101,8529,,0.0,8071,4743286,,9071,8438377,
102,9529,,0.0,8070,4743672,,9070,8438420,
103,5520,7846187,,72519,,0.0,9071,8438603,
104,82171,7846187,,82519,,1.0,9070,8438827,
105,82271,7846187,,92519,,0.0,9071,8438867,
106,82270,7846260,,5521,4774682,,9070,8438941,
