Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 07/31/2020,,Start Date, 07/31/2020,,Start Date, 07/31/2020,
1,Start Time, 16-30-20,,Start Time, 16-30-59,,Start Time, 16-31-08,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P2,,Paradigm, P2,,Paradigm, P2,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,220,,0113,226,,0113,226,
10,Paradigm, G5_P2,,Paradigm, G5_P2,,Paradigm, G5_P2,
11,7070,0,,7070,0,,7070,0,
12,8070,0,,8070,0,,8070,0,
13,9070,0,,9070,0,,9070,0,
14,5521,0,,5521,0,,5521,0,
15,9071,1960609,,9071,20231,,9071,18757525,
16,7529,,0.0,7529,,0.0,7529,,0.0
17,8529,,0.0,8529,,0.0,8529,,0.0
18,9529,,0.0,9529,,0.0,9529,,0.0
19,5520,1960610,,5520,20232,,5520,18757526,
20,81171,1960610,,81171,20232,,81171,18757527,
21,81271,1960610,,81271,20232,,81271,18757527,
22,81270,1960683,,9070,20252,,81270,18757600,
23,9070,1961848,,81270,20305,,9070,18758170,
24,81170,1963611,,9071,20317,,81170,18760528,
25,8071,1963644,,9070,20521,,8071,18760846,
26,8070,1966100,,81170,23233,,8070,18762303,
27,71519,,0.0,8071,28212,,71519,,0.0
28,81519,,1.0,8070,28251,,81519,,1.0
29,91519,,0.0,8071,28310,,91519,,0.0
30,5521,1993611,,8070,28660,,5521,18797528,
31,8071,16728997,,8071,28918,,9071,18937716,
32,8070,16730114,,8070,28989,,7529,,0.0
33,7071,16733772,,8071,29005,,8529,,0.0
34,7529,,0.0,8070,29466,,9529,,0.0
35,8529,,1.0,8071,70842,,5520,18937716,
36,9529,,0.0,8070,71126,,81171,18937717,
37,5520,16733773,,71519,,0.0,81271,18937717,
38,81171,16733774,,81519,,5.0,81270,18937790,
39,81271,16733774,,91519,,0.0,9070,18938127,
40,81270,16733847,,5521,74233,,9071,18938210,
41,7070,16735106,,7071,107556,,9070,18938522,
42,81170,16736775,,7529,,0.0,8071,18940060,
43,7071,16737801,,8529,,0.0,81170,18940718,
44,7070,16737899,,9529,,0.0,8070,18941757,
45,7071,16737918,,5520,107557,,8071,18942221,
46,7070,16738009,,81171,107557,,8070,18942700,
47,8071,16746897,,81271,107557,,8071,18967547,
48,8070,16750169,,81270,107630,,8070,18967632,
49,9071,16753605,,7070,107838,,8071,18968141,
50,9070,16753862,,7071,107860,,8070,18968650,
51,8071,16761183,,7070,108015,,8071,18969689,
52,8070,16761601,,8071,109246,,8070,18970012,
53,71519,,2.0,81170,110558,,7071,18974567,
54,81519,,2.0,8070,112854,,7070,18974616,
55,91519,,1.0,71519,,0.0,7071,18974664,
56,5521,16768775,,81519,,0.0,7070,18975326,
57,9071,16770635,,91519,,0.0,7071,18976409,
58,7529,,0.0,5521,170558,,7070,18976477,
59,8529,,0.0,7071,173435,,7071,18977321,
60,9529,,0.0,7529,,0.0,71519,,4.0
61,5520,16770636,,8529,,0.0,81519,,4.0
62,81171,16770637,,9529,,0.0,91519,,0.0
63,81271,16770637,,5520,173436,,5521,18977718,
64,81270,16770710,,81171,173436,,7070,18978585,
65,9070,16771097,,81271,173436,,7071,18978643,
66,8071,16772303,,81270,173509,,7529,,0.0
67,81170,16773638,,7070,173649,,8529,,0.0
68,8070,16774917,,8071,174279,,9529,,0.0
69,8071,16775193,,8070,174353,,5520,18978644,
70,8070,16775209,,8071,174373,,81171,18978646,
71,71519,,0.0,81170,176437,,81271,18978646,
72,81519,,1.0,8070,177765,,81270,18978719,
73,91519,,0.0,8071,178042,,7070,18979231,
74,5521,16820638,,8070,178587,,7071,18979612,
75,9071,16894041,,8071,178661,,7070,18980292,
76,7529,,0.0,8070,178702,,7071,18980352,
77,8529,,0.0,8071,229782,,7070,18981202,
78,9529,,0.0,8070,230460,,7071,18981437,
79,5520,16894041,,8071,231085,,81170,18981647,
80,81171,16894042,,8070,231421,,7070,18983373,
81,81271,16894042,,71519,,0.0,8071,18984862,
82,9070,16894073,,81519,,4.0,8070,18986788,
83,81270,16894115,,91519,,0.0,7071,18990730,
84,9071,16894127,,5521,233437,,7070,18991155,
85,9070,16894243,,8071,239610,,8071,18997198,
86,8071,16895266,,8070,239675,,8070,18997844,
87,81170,16897043,,8071,240131,,8071,18998354,
88,8070,16897080,,8070,240177,,8070,18998762,
89,71519,,0.0,9071,242138,,71519,,1.0
90,81519,,0.0,7529,,0.0,81519,,3.0
91,91519,,0.0,8529,,2.0,91519,,0.0
92,5521,16929043,,9529,,0.0,5521,19013647,
93,8071,16933857,,5520,242138,,9071,19031696,
94,8070,16934039,,81171,242139,,7529,,0.0
95,8071,16934475,,81271,242139,,8529,,0.0
96,8070,16934584,,81270,242212,,9529,,0.0
97,8071,16935009,,9070,243296,,5520,19031697,
98,8070,16935886,,8071,245135,,81171,19031698,
99,7071,16946234,,81170,245140,,81271,19031698,
100,7529,,0.0,8070,247602,,81270,19031771,
101,8529,,3.0,8071,247650,,9070,19031934,
102,9529,,0.0,8070,247832,,8071,19033393,
103,5520,16946235,,8071,247885,,81170,19034699,
104,81171,16946235,,8070,248226,,8070,19035868,
105,81271,16946235,,71519,,0.0,8071,19035949,
106,7070,16946279,,81519,,2.0,8070,19036887,
107,81270,16946308,,91519,,0.0,8071,19037165,
108,7071,16946538,,5521,277140,,8070,19038024,
109,7070,16946909,,7071,298141,,8071,19038170,
