Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 07/28/2020,,Start Date, 07/28/2020,,Start Date, 07/28/2020,
1,Start Time, 16-34-40,,Start Time, 16-36-35,,Start Time, 16-37-23,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P1,,Paradigm, P1,,Paradigm, P1,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,220,,0113,226,,0113,228,
10,Paradigm, G5_P1_vF,,Paradigm, G5_P1_vF,,Paradigm, G5_P1_vF,
106,5521,1394106,,8070,2286340,,81171,20233306,
107,7071,1515026,,8071,2286492,,81271,20233306,
108,7070,1515207,,8070,2286515,,8070,20233329,
109,7071,1515213,,8071,2286829,,81270,20233379,
110,7070,1516333,,8070,2286877,,81170,20236307,
111,7071,1516353,,8071,2286973,,8071,20238003,
112,7070,1529470,,8070,2287043,,8070,20238070,
113,7071,1529967,,8071,2287116,,8071,20238119,
114,7070,1530083,,8070,2287211,,8070,20238195,
115,7071,1530126,,8071,2287245,,8071,20241040,
116,7070,1530178,,8070,2287273,,8070,20241128,
117,7071,1530188,,8071,2287308,,8071,20245061,
118,7070,1530249,,8070,2287381,,8070,20245725,
119,7071,1530259,,8071,2287401,,8071,20250616,
120,7070,1530301,,8070,2287436,,8070,20250679,
121,7071,1530373,,8071,2287489,,8071,20250712,
122,7070,1530653,,8070,2287515,,8070,20250785,
123,7071,1530707,,8071,2287532,,8071,20250813,
124,7070,1530968,,8070,2287702,,8070,20251207,
125,7071,1531068,,8071,2287736,,8071,20254209,
126,7070,1531296,,8070,2287874,,8070,20254279,
127,7071,1532258,,8071,2287923,,8071,20274009,
128,7070,1532311,,8070,2287958,,8070,20274190,
129,7071,1532341,,8071,2293202,,8071,20274226,
130,7070,1534030,,8070,2293228,,8070,20274260,
131,7071,1534099,,8071,2293374,,8071,20275902,
132,7070,1535153,,8070,2293439,,8070,20276287,
133,7071,1535163,,8071,2293487,,8071,20279568,
134,8071,1542365,,8070,2293510,,8070,20279583,
135,7529,,14.0,8071,2293576,,8071,20280123,
136,8529,,0.0,8070,2293592,,8070,20280241,
137,9529,,0.0,8071,2296080,,8071,20280256,
138,5520,1542366,,8070,2298531,,8070,20280338,
139,81171,1542367,,8071,2298680,,8071,20281415,
140,81271,1542367,,8070,2299246,,8070,20281450,
141,81270,1542440,,8071,2301117,,8071,20281539,
142,8070,1542568,,8070,2302373,,8070,20282595,
143,8071,1542719,,8071,2303007,,8071,20284729,
144,8070,1542770,,8070,2303039,,8070,20284864,
145,8071,1542831,,8071,2303774,,8071,20286268,
146,8070,1543714,,8070,2304156,,8070,20286327,
147,81170,1545368,,8071,2307010,,8071,20287543,
148,8071,1548098,,8070,2307166,,8070,20287566,
149,8070,1548152,,8071,2307225,,8071,20288609,
150,8071,1549600,,8070,2307303,,8070,20288878,
151,8070,1549939,,8071,2307349,,7071,20294749,
152,8071,1550137,,8070,2307450,,7070,20295409,
153,8070,1550171,,8071,2312697,,71519,,1.0
154,71519,,0.0,8070,2315311,,81519,,20.0
155,81519,,3.0,8071,2316183,,91519,,0.0
156,91519,,0.0,8070,2316503,,5521,20296307,
157,5521,1577368,,8071,2316998,,7071,20298559,
158,9071,2440984,,8070,2317022,,7070,20298860,
159,9070,2441174,,8071,2317216,,8071,20303512,
160,8071,4054195,,8070,2319523,,7529,,1.0
161,7529,,0.0,71519,,0.0,8529,,0.0
162,8529,,0.0,81519,,31.0,9529,,0.0
163,9529,,1.0,91519,,0.0,5520,20303513,
164,5520,4054195,,5521,2327520,,81171,20303514,
165,81171,4054196,,9071,2347969,,81271,20303514,
166,81271,4054196,,9070,2349574,,8070,20303539,
167,8070,4054240,,7071,2553136,,81270,20303587,
168,81270,4054269,,7070,2554030,,8071,20304152,
169,81170,4057197,,9071,2565785,,8070,20304268,
170,71519,,0.0,9070,2565846,,81170,20306515,
171,81519,,0.0,9071,2565928,,71519,,0.0
172,91519,,0.0,9070,2565946,,81519,,0.0
173,5521,4107197,,9071,2566515,,91519,,0.0
174,8071,9650708,,9070,2566534,,5521,20361515,
175,7529,,0.0,9071,2566585,,8071,20852329,
176,8529,,0.0,9070,2568715,,7529,,0.0
177,9529,,0.0,7071,2986926,,8529,,0.0
178,5520,9650709,,7070,2987327,,9529,,0.0
179,81171,9650709,,7071,3049300,,5520,20852330,
180,81271,9650709,,7070,3049477,,81171,20852330,
181,81270,9650782,,7071,3050700,,81271,20852330,
182,8070,9651381,,7070,3051192,,8070,20852359,
183,8071,9651432,,7071,3051214,,81270,20852403,
184,8070,9651518,,7070,3051274,,8071,20852435,
185,8071,9651578,,7071,3051626,,8070,20853212,
186,8070,9651648,,7070,3051941,,8071,20853239,
187,8071,9651668,,7071,3052193,,8070,20853288,
188,8070,9651705,,7070,3052306,,8071,20853341,
189,81170,9653710,,7071,3052593,,8070,20853361,
190,71519,,0.0,7070,3053107,,8071,20853399,
191,81519,,0.0,7071,3055841,,8070,20853816,
192,91519,,0.0,7070,3056160,,8071,20853840,
193,5521,9703710,,7071,3056211,,8070,20853853,
194,8071,9852545,,7070,3056614,,8071,20854154,
195,7529,,0.0,7071,3056674,,8070,20854878,
196,8529,,0.0,7070,3056708,,81170,20855331,
197,9529,,0.0,7071,3056793,,8071,20855559,
198,5520,9852546,,7070,3057339,,8070,20855867,
199,81171,9852547,,7071,3058192,,8071,20856178,
200,81271,9852547,,7070,3058448,,8070,20856206,
201,8070,9852588,,7071,3058563,,8071,20856279,
202,81270,9852620,,7070,3058601,,8070,20856320,
203,8071,9854656,,7071,3058875,,8071,20859598,
204,81170,9855548,,7070,3059244,,8070,20859915,
205,8070,9855799,,7071,3060078,,8071,20871986,
206,71519,,0.0,7070,3061585,,8070,20872589,
207,81519,,0.0,8071,3072358,,8071,20873005,
208,91519,,0.0,7529,,16.0,8070,20873919,
209,5521,9905548,,8529,,0.0,71519,,0.0
210,7070,10825426,,9529,,5.0,81519,,6.0
211,8071,11011771,,5520,3072358,,91519,,0.0
212,7529,,0.0,81171,3072359,,5521,20905331,
213,8529,,0.0,81271,3072359,,8071,20986310,
214,9529,,0.0,81270,3072432,,7529,,0.0
215,5520,11011772,,8070,3073988,,8529,,0.0
216,81171,11011773,,81170,3075360,,9529,,0.0
217,81271,11011773,,8071,3077421,,5520,20986311,
218,81270,11011846,,8070,3078361,,81171,20986311,
219,8070,11012229,,71519,,0.0,81271,20986311,
220,81170,11014774,,81519,,1.0,81270,20986384,
221,71519,,0.0,91519,,0.0,8070,20986506,
222,81519,,0.0,5521,3126360,,8071,20986526,
223,91519,,0.0,8071,3844586,,8070,20988186,
224,5521,11046774,,7529,,0.0,8071,20988485,
225,9071,11202152,,8529,,0.0,8070,20988708,
226,9070,11202330,,9529,,0.0,81170,20989312,
227,9071,11202376,,5520,3844587,,8071,20990788,
228,9070,11202392,,81171,3844587,,8070,20991304,
229,9071,11202439,,81271,3844587,,9071,21014720,
230,9070,11202660,,8070,3844623,,9070,21015002,
231,9071,11203648,,81270,3844660,,71519,,0.0
232,9070,11203683,,8071,3845105,,81519,,1.0
233,9071,11203836,,8070,3845780,,91519,,1.0
234,9070,11205164,,8071,3847324,,5521,21034312,
235,9071,11205767,,8070,3847347,,9071,22028777,
236,9070,11205879,,8071,3847533,,9070,22028793,
237,9071,11206751,,81170,3847588,,9071,22028827,
238,9070,11206821,,8070,3848059,,9070,22029021,
239,9071,11206850,,71519,,0.0,9071,22030415,
240,9070,11207059,,81519,,0.0,9070,22030656,
241,7071,11211325,,91519,,0.0,9071,22030675,
242,7070,11211470,,5521,3884588,,9070,22030887,
243,7071,11214341,,8071,4008224,,8071,22033457,
244,7070,11214515,,7529,,0.0,7529,,0.0
245,7071,11214565,,8529,,0.0,8529,,0.0
246,7070,11216412,,9529,,0.0,9529,,4.0
247,7071,11216438,,5520,4008225,,5520,22033458,
248,7070,11216447,,81171,4008225,,81171,22033458,
249,8071,11219042,,81271,4008225,,81271,22033458,
250,7529,,4.0,8070,4008255,,8070,22033481,
251,8529,,0.0,81270,4008298,,81270,22033531,
252,9529,,8.0,8071,4008300,,8071,22033754,
253,5520,11219043,,8070,4008627,,8070,22035032,
254,81171,11219044,,8071,4008654,,8071,22035106,
