Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 08/14/2020,,Start Date, 08/14/2020,,Start Date, 08/14/2020,
1,Start Time, 16-53-30,,Start Time, 16-55-19,,Start Time, 17-00-07,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P6-3,,Paradigm, P6-3,,Paradigm, P6-3,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1380,,0113,221,,0113,227,
10,Paradigm,G5_P6.3_v2,,Paradigm,G5_P6.3_v2,,Paradigm,G5_P6.3_v2,
11,Trial_Duration,1500,,Trial_Duration,1500,,Trial_Duration,1500,
12,Delay_Window,3000,,Delay_Window,3000,,Delay_Window,3000,
104,8070,1301907,,5521,9241897,,91559,,0.0
105,71519,,0.0,8071,11697275,,91171,208818,
106,81519,,0.0,7529,,0.0,9071,209768,
107,91519,,0.0,8529,,0.0,91170,209769,
108,5521,1322917,,9529,,0.0,81271,209769,
109,8071,1328943,,5520,11697276,,81270,209842,
110,7529,,0.0,8070,11697389,,9070,209890,
111,8529,,0.0,8071,11697434,,8071,210209,
112,9529,,0.0,8070,11697597,,81170,212770,
113,5520,1328944,,8071,11697668,,71549,,0.0
114,8070,1329750,,8070,11697798,,81549,,1.0
115,71559,,0.0,71559,,0.0,91549,,0.0
116,81559,,0.0,81559,,2.0,8070,229504,
117,91559,,0.0,91559,,0.0,9071,230670,
118,91171,1331944,,91171,11700276,,9070,230755,
119,91540,1333445,,9071,11700883,,9071,230906,
120,71519,,0.0,91170,11700883,,9070,231764,
121,81519,,0.0,81271,11700883,,8071,251999,
122,91519,,0.0,81270,11700956,,8070,252601,
123,5521,1367445,,9070,11700959,,71519,,0.0
124,8071,1369563,,8071,11701293,,81519,,1.0
125,7529,,0.0,8070,11703842,,91519,,2.0
126,8529,,0.0,81170,11703884,,5521,272770,
127,9529,,0.0,71549,,0.0,8071,324259,
128,5520,1369564,,81549,,1.0,7529,,0.0
129,8070,1369740,,91549,,0.0,8529,,0.0
130,71559,,0.0,8071,11714013,,9529,,0.0
131,81559,,0.0,8070,11716104,,5520,324259,
132,91559,,0.0,71519,,0.0,8070,324749,
133,71171,1372564,,81519,,1.0,7071,326447,
134,8071,1372665,,91519,,0.0,7070,326861,
135,71160,1372665,,5521,11737884,,71559,,1.0
136,8070,1373103,,8071,14326138,,81559,,0.0
137,71519,,0.0,7529,,0.0,91559,,0.0
138,81519,,0.0,8529,,0.0,91171,327259,
139,91519,,0.0,9529,,0.0,91540,328760,
140,5521,1402667,,5520,14326139,,9071,330826,
141,8071,3579868,,8070,14326590,,9070,331400,
142,7529,,0.0,71559,,0.0,9071,331943,
143,8529,,0.0,81559,,0.0,9070,332177,
144,9529,,0.0,91559,,0.0,9071,332226,
145,5520,3579869,,71171,14329139,,9070,332380,
146,8070,3579986,,71540,14330640,,9071,332426,
147,71559,,0.0,7071,14330771,,9070,332473,
148,81559,,0.0,7070,14330846,,9071,332542,
149,91559,,0.0,7071,14331244,,9070,332609,
150,91171,3582869,,7070,14331343,,9071,332649,
151,9071,3583475,,7071,14331445,,9070,332694,
152,91170,3583475,,7070,14333452,,9071,334520,
153,81271,3583476,,7071,14334632,,9070,334553,
154,81270,3583549,,7070,14335054,,9071,335581,
155,9070,3583707,,8071,14337599,,9070,335640,
156,8071,3584084,,8070,14338323,,9071,335675,
157,81170,3586477,,71519,,4.0,9070,336108,
158,71549,,0.0,81519,,1.0,9071,336673,
159,81549,,1.0,91519,,0.0,9070,338182,
160,91549,,0.0,5521,14360640,,9071,339361,
161,8070,3592580,,8071,14860083,,9070,339389,
162,8071,3635879,,7529,,0.0,9071,339433,
163,8070,3636957,,8529,,0.0,9070,339758,
164,8071,3639002,,9529,,0.0,8071,343060,
165,8070,3639380,,5520,14860084,,8070,343215,
166,8071,3641508,,8070,14860453,,71519,,0.0
167,8070,3641568,,71559,,0.0,81519,,1.0
168,8071,3641632,,81559,,0.0,91519,,12.0
169,8070,3642225,,91559,,0.0,5521,383760,
170,71519,,0.0,91171,14863084,,8071,591611,
171,81519,,4.0,91540,14864585,,7529,,0.0
172,91519,,0.0,71519,,0.0,8529,,0.0
173,5521,3643478,,81519,,0.0,9529,,0.0
174,9071,3644406,,91519,,0.0,5520,591611,
175,9070,3644735,,5521,14921585,,8070,591662,
176,8071,3645674,,8071,17056495,,71559,,0.0
177,7529,,0.0,7529,,0.0,81559,,0.0
178,8529,,0.0,8529,,0.0,91559,,0.0
