Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 08/03/2020,,Start Date, 08/03/2020,,Start Date, 08/03/2020,
1,Start Time, 17-56-54,,Start Time, 17-57-14,,Start Time, 17-57-21,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P3,,Paradigm, P3,,Paradigm, P3,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1360,,0113,239,,0113,228,
10,Paradigm,DD_P3_vf,,Paradigm,DD_P3_vf,,Paradigm,DD_P3_vf,
11,7070,0,,7070,0,,7070,0,
12,8070,0,,8070,0,,8070,0,
13,9070,0,,9070,0,,9070,0,
14,5521,0,,5521,0,,5521,0,
15,8071,3872004,,8071,4361820,,8071,6565340,
16,7529,,0.0,7529,,0.0,7529,,0.0
17,8529,,0.0,8529,,0.0,8529,,0.0
18,9529,,0.0,9529,,0.0,9529,,0.0
19,5520,3872005,,5520,4361821,,5520,6565341,
20,61171,3872006,,61171,4361822,,61171,6565342,
21,8070,3872074,,8070,4362314,,8070,6565525,
22,9071,3874437,,8071,4362613,,9071,6566220,
23,91170,3874438,,8070,4363086,,91170,6566220,
24,71589,,0.0,8071,4363181,,71589,,0.0
25,81589,,0.0,8070,4364986,,81589,,0.0
26,91589,,0.0,7071,4366621,,91589,,0.0
27,81271,3874439,,71170,4366622,,81271,6566221,
28,9070,3874480,,71589,,0.0,81270,6566294,
29,81270,3874512,,81589,,2.0,9070,6566496,
30,8071,3875362,,91589,,0.0,8071,6567241,
31,8070,3875471,,81271,4366623,,8070,6569177,
32,8071,3875648,,7070,4366676,,81170,6569222,
33,81170,3877440,,81270,4366696,,71549,,0.0
34,71549,,0.0,8071,4367408,,81549,,1.0
35,81549,,2.0,81170,4369624,,91549,,0.0
36,91549,,0.0,71549,,0.0,71519,,0.0
37,8070,3877979,,81549,,1.0,81519,,0.0
38,71519,,0.0,91549,,0.0,91519,,0.0
39,81519,,0.0,8070,4369996,,5521,6626222,
40,91519,,0.0,71519,,0.0,8071,6638764,
41,5521,3917440,,81519,,0.0,7529,,0.0
42,8071,3918507,,91519,,0.0,8529,,0.0
43,7529,,0.0,5521,4401624,,9529,,0.0
44,8529,,0.0,8071,4448653,,5520,6638765,
45,9529,,0.0,7529,,0.0,61171,6638766,
46,5520,3918508,,8529,,0.0,8070,6638955,
47,61171,3918509,,9529,,0.0,9071,6639475,
48,8070,3918931,,5520,4448654,,91170,6639475,
49,7071,3921514,,61171,4448655,,71589,,0.0
50,71170,3921515,,8070,4448873,,81589,,0.0
51,71589,,0.0,7071,4451288,,91589,,0.0
52,81589,,0.0,71170,4451289,,81271,6639476,
53,91589,,0.0,71589,,0.0,81270,6639549,
54,81271,3921516,,81589,,0.0,9070,6639635,
55,81270,3921589,,91589,,0.0,8071,6640148,
56,7070,3921694,,81271,4451290,,8070,6641837,
57,8071,3922094,,81270,4451363,,81170,6642477,
58,81170,3924517,,7070,4451513,,71549,,0.0
59,71549,,0.0,8071,4451819,,81549,,1.0
60,81549,,1.0,8070,4451834,,91549,,0.0
61,91549,,0.0,8071,4451852,,71519,,0.0
62,8070,3925137,,81170,4454291,,81519,,0.0
63,71519,,0.0,71549,,0.0,91519,,0.0
64,81519,,0.0,81549,,2.0,5521,6693477,
65,91519,,0.0,91549,,0.0,8071,6849862,
66,5521,3954518,,8070,4454443,,7529,,0.0
67,8071,3960214,,8071,4454635,,8529,,0.0
68,7529,,0.0,8070,4454731,,9529,,0.0
69,8529,,0.0,71519,,0.0,5520,6849863,
70,9529,,0.0,81519,,1.0,61171,6849864,
71,5520,3960215,,91519,,0.0,8070,6849923,
72,61171,3960216,,5521,4486291,,9071,6850528,
73,8070,3960380,,8071,4488943,,91170,6850529,
74,7071,3961308,,7529,,0.0,71589,,0.0
75,71170,3961309,,8529,,0.0,81589,,0.0
76,71589,,0.0,9529,,0.0,91589,,0.0
77,81589,,0.0,5520,4488944,,81271,6850529,
78,91589,,0.0,61171,4488945,,81270,6850603,
79,81271,3961310,,8070,4488995,,9070,6850678,
80,81270,3961383,,9071,4489771,,8071,6851203,
81,7070,3961495,,91170,4489772,,8070,6852757,
82,8071,3961925,,71589,,0.0,81170,6853530,
83,81170,3964311,,81589,,0.0,71549,,0.0
84,71549,,0.0,91589,,0.0,81549,,1.0
85,81549,,1.0,81271,4489772,,91549,,0.0
86,91549,,0.0,9070,4489807,,71519,,0.0
87,8070,3964705,,81270,4489845,,81519,,0.0
88,71519,,0.0,8071,4490238,,91519,,0.0
89,81519,,0.0,8070,4490603,,5521,6893530,
90,91519,,0.0,8071,4490631,,8071,6931304,
91,5521,4015311,,8070,4490696,,7529,,0.0
92,8071,4163627,,8071,4490719,,8529,,0.0
93,7529,,0.0,8070,4492652,,9529,,0.0
94,8529,,0.0,8071,4492681,,5520,6931305,
95,9529,,0.0,81170,4492773,,61171,6931306,
96,5520,4163627,,71549,,0.0,8070,6931435,
97,61171,4163628,,81549,,4.0,9071,6932365,
98,8070,4163822,,91549,,0.0,91170,6932366,
99,7071,4165573,,8070,4492972,,71589,,0.0
100,71170,4165574,,8071,4493078,,81589,,0.0
101,71589,,0.0,8070,4493524,,91589,,0.0
102,81589,,0.0,8071,4494066,,81271,6932367,
103,91589,,0.0,8070,4494095,,81270,6932440,
104,81271,4165574,,8071,4494143,,9070,6932491,
105,81270,4165647,,8070,4495238,,8071,6933128,
106,7070,4165721,,9071,4496653,,81170,6935368,
