Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 07/30/2020,,Start Date, 07/30/2020,,Start Date, 07/30/2020,
1,Start Time, 11-35-00,,Start Time, 11-35-50,,Start Time, 12-02-31,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P1,,Paradigm, P1,,Paradigm, P1,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1420,,0113,228,,0113,230,
10,Paradigm, DD_P1_vf,,Paradigm, DD_P1_vf,,Paradigm, DD_P1_vf,
105,81271,19285592,,91519,,0.0,71519,,0.0
106,81270,19285665,,5521,492729,,81519,,0.0
107,8070,19287156,,8071,516282,,91519,,0.0
108,8071,19287243,,7529,,0.0,5521,36398084,
109,8070,19287280,,8529,,0.0,8071,42859851,
110,81170,19288593,,9529,,0.0,7529,,0.0
111,71519,,0.0,5520,516282,,8529,,0.0
112,81519,,0.0,81171,516283,,9529,,0.0
113,91519,,0.0,81271,516283,,5520,42859852,
114,5521,19322593,,81270,516356,,81171,42859853,
115,8071,19870174,,8070,516773,,81271,42859853,
116,7529,,0.0,8071,516806,,81270,42859926,
117,8529,,0.0,8070,516965,,8070,42861120,
118,9529,,0.0,8071,516987,,81170,42862854,
119,5520,19870175,,8070,517160,,8071,42884532,
120,81171,19870176,,8071,517206,,8070,42884786,
121,81271,19870176,,8070,517227,,71519,,0.0
122,81270,19870249,,8071,517383,,81519,,1.0
123,8070,19871446,,8070,517410,,91519,,0.0
124,81170,19873177,,8071,517490,,5521,42912854,
125,71519,,0.0,8070,517512,,8071,45443606,
126,81519,,0.0,8071,517536,,7529,,0.0
127,91519,,0.0,8070,517554,,8529,,0.0
128,5521,19913177,,8071,517597,,9529,,0.0
129,8071,19939194,,8070,517618,,5520,45443606,
130,7529,,0.0,8071,517641,,81171,45443607,
131,8529,,0.0,8070,517657,,81271,45443607,
132,9529,,0.0,8071,517677,,8070,45443652,
133,5520,19939195,,8070,517967,,8071,45443675,
134,81171,19939196,,81170,519284,,81270,45443680,
135,81271,19939196,,7071,526647,,8070,45444680,
136,81270,19939269,,7070,529692,,8071,45444939,
137,8070,19940904,,71519,,1.0,8070,45445275,
138,81170,19942197,,81519,,0.0,81170,45446608,
139,8071,19942221,,91519,,0.0,7071,45453785,
140,8070,19942272,,5521,574284,,7070,45453847,
141,8071,19942343,,8071,611440,,7071,45457608,
142,8070,19942583,,7529,,0.0,7070,45458266,
143,71519,,0.0,8529,,0.0,7071,45460840,
144,81519,,2.0,9529,,0.0,7070,45461372,
145,91519,,0.0,5520,611441,,7071,45461677,
146,5521,19993197,,81171,611441,,7070,45461758,
147,8071,20138615,,81271,611441,,7071,45461791,
148,7529,,0.0,81270,611514,,7070,45462141,
149,8529,,0.0,8070,611571,,8071,45472076,
150,9529,,0.0,8071,614082,,8070,45473062,
151,5520,20138616,,8070,614235,,8071,45483400,
152,81171,20138617,,8071,614273,,8070,45483824,
153,81271,20138617,,8070,614323,,8071,45483869,
154,81270,20138690,,8071,614366,,8070,45485063,
155,8070,20140550,,81170,614443,,71519,,5.0
156,81170,20141618,,8070,614733,,81519,,3.0
157,71519,,0.0,8071,615855,,91519,,0.0
158,81519,,0.0,8070,615883,,5521,45501608,
159,91519,,0.0,8071,616255,,8071,45510262,
160,5521,20196618,,8070,616534,,7529,,0.0
161,8071,20203538,,8071,616722,,8529,,0.0
162,7529,,0.0,8070,616765,,9529,,0.0
163,8529,,0.0,8071,617697,,5520,45510263,
164,9529,,0.0,8070,617916,,81171,45510263,
165,5520,20203539,,8071,618262,,81271,45510263,
166,81171,20203540,,8070,618672,,81270,45510336,
167,81271,20203540,,71519,,0.0,8070,45512103,
168,81270,20203613,,81519,,5.0,81170,45513264,
169,8070,20204891,,91519,,0.0,8071,45523549,
170,8071,20205443,,5521,671443,,8070,45524525,
171,8070,20205615,,9071,841247,,71519,,0.0
172,81170,20206541,,9070,841273,,81519,,1.0
173,9071,20215613,,8071,842489,,91519,,0.0
174,9070,20216205,,7529,,0.0,5521,45563264,
175,8071,20220267,,8529,,0.0,8071,47878921,
176,8070,20220646,,9529,,1.0,7529,,0.0
177,8071,20229823,,5520,842490,,8529,,0.0
178,8070,20230099,,81171,842490,,9529,,0.0
179,8071,20230171,,81271,842490,,5520,47878922,
180,8070,20230659,,8070,842519,,81171,47878922,
181,8071,20231585,,8071,842548,,81271,47878922,
182,8070,20231857,,81270,842563,,81270,47878995,
183,71519,,0.0,8070,843433,,8070,47880883,
184,81519,,4.0,8071,843479,,8071,47881102,
185,91519,,1.0,8070,843554,,8070,47881442,
186,5521,20263541,,8071,843585,,81170,47881923,
187,8071,20272029,,8070,843665,,7071,47885002,
188,7529,,0.0,8071,843709,,7070,47885039,
189,8529,,0.0,8070,843764,,8071,47889050,
190,9529,,0.0,8071,843807,,8070,47889753,
191,5520,20272030,,8070,843855,,8071,47891130,
192,81171,20272031,,8071,844223,,8070,47893061,
193,81271,20272031,,8070,844239,,7071,47907046,
194,81270,20272104,,81170,845491,,7070,47907335,
195,8070,20273584,,71519,,0.0,8071,47923030,
196,8071,20273718,,81519,,0.0,8070,47924286,
197,8070,20274057,,91519,,0.0,71519,,2.0
198,81170,20275032,,5521,896491,,81519,,3.0
199,8071,20301112,,8071,957972,,91519,,0.0
