Box Number,6,6,6,9,9,9,10,10,10
Columns,event_code,timestamp,counter,event_code,timestamp,counter,event_code,timestamp,counter
0,Start Date, 08/07/2020,,Start Date, 08/07/2020,,Start Date, 08/07/2020,
1,Start Time, 16-59-03,,Start Time, 16-59-18,,Start Time, 16-59-27,
2,Mouse Line, 234,,Mouse Line, 240,,Mouse Line, 232,
3,Experiment, Group10,,Experiment, Group10,,Experiment, Group10,
4,Paradigm, P4,,Paradigm, P4,,Paradigm, P4,
5,Group, cre-,,Group, cre+,,Group, cre-,
6,Sex, male,,Sex, female,,Sex, male,
7,Subject, 234,,Subject, 240,,Subject, 232,
8,Box Number, 6,,Box Number, 9,,Box Number, 10,
9,0113,1328,,0113,239,,0113,230,
10,Paradigm,DD_P4_rl_vf,,Paradigm,DD_P4_rl_vf,,Paradigm,DD_P4_rl_vf,
11,7070,0,,7070,0,,7070,0,
12,8070,0,,8070,0,,8070,0,
13,9070,0,,9070,0,,9070,0,
14,5521,0,,5521,0,,5521,0,
15,8071,564745,,9071,158371,,8071,347550,
16,7529,,0.0,9070,158657,,7529,,0.0
17,8529,,0.0,8071,159389,,8529,,0.0
18,9529,,0.0,7529,,0.0,9529,,0.0
19,5520,564745,,8529,,0.0,5520,347551,
20,91171,564746,,9529,,1.0,71171,347552,
21,8070,564904,,5520,159389,,8070,347572,
22,9071,565699,,91171,159390,,8071,347640,
23,91170,565699,,8070,159634,,8070,347670,
24,71589,,0.0,9071,160148,,9071,348314,
25,81589,,0.0,91170,160148,,9070,348341,
26,91589,,0.0,71589,,0.0,7071,358262,
27,81271,565700,,81589,,0.0,71170,358263,
28,81270,565773,,91589,,0.0,71589,,0.0
29,9070,565790,,81271,160149,,81589,,1.0
30,8071,566376,,9070,160203,,91589,,1.0
31,81170,568701,,81270,160222,,81271,358263,
32,71549,,0.0,8071,160506,,7070,358297,
33,81549,,1.0,81170,163150,,7071,358322,
34,91549,,0.0,71549,,0.0,81270,358336,
35,8070,569408,,81549,,1.0,7070,358358,
36,71519,,0.0,91549,,0.0,7071,358385,
37,81519,,0.0,8070,163444,,7070,358641,
38,91519,,0.0,71519,,0.0,8071,359330,
39,5521,608701,,81519,,0.0,81170,361264,
40,8071,611263,,91519,,0.0,71549,,2.0
41,7529,,0.0,5521,210150,,81549,,1.0
42,8529,,0.0,8071,753540,,91549,,0.0
43,9529,,0.0,7529,,0.0,8070,362326,
44,5520,611264,,8529,,0.0,8071,362352,
45,71171,611265,,9529,,0.0,8070,363721,
46,8070,611381,,5520,753541,,8071,365343,
47,7071,612251,,91171,753542,,8070,365485,
48,71170,612251,,8070,753687,,8071,365547,
49,71589,,0.0,8071,753744,,8070,365831,
50,81589,,0.0,8070,753836,,71519,,0.0
51,91589,,0.0,9071,754621,,81519,,3.0
52,81271,612252,,91170,754621,,91519,,0.0
53,7070,612295,,71589,,0.0,5521,393264,
54,81270,612325,,81589,,1.0,8071,449633,
55,8071,612714,,91589,,0.0,7529,,0.0
56,81170,615254,,81271,754622,,8529,,0.0
57,71549,,0.0,9070,754638,,9529,,0.0
58,81549,,1.0,81270,754695,,5520,449634,
59,91549,,0.0,8071,755068,,71171,449635,
60,8070,616257,,8070,757437,,8070,449724,
61,71519,,0.0,8071,757531,,8071,449753,
62,81519,,0.0,81170,757623,,8070,449802,
63,91519,,0.0,71549,,0.0,7071,454823,
64,5521,645254,,81549,,2.0,71170,454823,
65,8071,715425,,91549,,0.0,71589,,0.0
66,7529,,0.0,8070,757870,,81589,,1.0
67,8529,,0.0,71519,,0.0,91589,,0.0
68,9529,,0.0,81519,,0.0,81271,454824,
69,5520,715426,,91519,,0.0,81270,454897,
70,71171,715427,,5521,794624,,7070,455342,
71,8070,715544,,8071,3726992,,8071,455835,
72,7071,716082,,7529,,0.0,8070,455889,
73,71170,716083,,8529,,0.0,8071,455994,
74,71589,,0.0,9529,,0.0,81170,457825,
75,81589,,0.0,5520,3726992,,71549,,0.0
76,91589,,0.0,71171,3726993,,81549,,2.0
77,81271,716083,,8070,3727152,,91549,,0.0
78,7070,716119,,8071,3733591,,8070,461968,
79,81270,716156,,8070,3733740,,7071,464342,
80,8071,716519,,8071,3734448,,7070,464524,
81,81170,719084,,8070,3734867,,71519,,1.0
82,71549,,0.0,9071,3737882,,81519,,0.0
83,81549,,1.0,9070,3738340,,91519,,0.0
84,91549,,0.0,7071,3776228,,5521,507825,
85,8070,719734,,71170,3776229,,8071,538823,
86,71519,,0.0,71589,,0.0,7529,,0.0
87,81519,,0.0,81589,,2.0,8529,,0.0
88,91519,,0.0,91589,,1.0,9529,,0.0
89,5521,770084,,81271,3776230,,5520,538824,
90,8071,838211,,7070,3776291,,71171,538825,
91,7529,,0.0,81270,3776303,,8070,538883,
92,8529,,0.0,8071,3776752,,7071,544509,
93,9529,,0.0,8070,3776836,,71170,544509,
94,5520,838211,,8071,3776927,,71589,,0.0
95,91171,838212,,8070,3779123,,81589,,0.0
96,8070,838278,,81170,3779231,,91589,,0.0
97,9071,838708,,71549,,0.0,81271,544510,
98,91170,838708,,81549,,2.0,81270,544583,
99,71589,,0.0,91549,,0.0,7070,544820,
100,81589,,0.0,7071,3782993,,8071,545257,
101,91589,,0.0,7070,3782998,,8070,545297,
102,81271,838709,,8071,3788906,,8071,545434,
103,9070,838729,,8070,3789009,,81170,547511,
104,81270,838782,,8071,3789037,,71549,,0.0
105,8071,839207,,8070,3789934,,81549,,2.0
106,81170,841710,,71519,,1.0,91549,,0.0
107,71549,,0.0,81519,,2.0,8070,554322,
108,81549,,1.0,91519,,0.0,7071,557767,
109,91549,,0.0,5521,3834231,,7070,557972,
110,8070,842652,,8071,3839416,,7071,558005,
111,71519,,0.0,7529,,0.0,7070,558095,
