Box Number,6,6,6,6,9,9,9,9,10,10,10,10
Columns,Left,Middle,Right,Total,Left,Middle,Right,Total,Left,Middle,Right,Total
2020/08/16 event_code: x071,108.0,470.0,1131.0,1709.0,222.0,1687.0,218.0,2127.0,160.0,412.0,502.0,1074.0
2020/08/16 event_code: x520,0.0,220.0,0.0,220.0,0.0,206.0,0.0,206.0,0.0,127.0,0.0,127.0
2020/08/16 counter: xx529,8.0,0.0,247.0,255.0,51.0,0.0,31.0,82.0,61.0,0.0,221.0,282.0
2020/08/16 event_code: x271,0.0,151.0,0.0,151.0,0.0,134.0,0.0,134.0,0.0,92.0,0.0,92.0
2020/08/16 event_code: x2271,0.0,151.0,0.0,151.0,0.0,134.0,0.0,134.0,0.0,92.0,0.0,92.0
2020/08/16 event_code: x1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/16 counter: x2589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/16 counter: x1589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/16 counter: x2519,32.0,68.0,274.0,374.0,74.0,1260.0,86.0,1420.0,37.0,194.0,79.0,310.0
2020/08/16 counter: x1519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/16 counter: x2559,3.0,22.0,479.0,504.0,28.0,70.0,12.0,110.0,11.0,29.0,121.0,161.0
2020/08/16 counter: x1559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/16 counter: x2549,8.0,160.0,12.0,180.0,6.0,146.0,12.0,164.0,5.0,91.0,6.0,102.0
2020/08/16 counter: x1549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/16 event_code: x2170,53.0,159.0,97.0,309.0,62.0,133.0,72.0,267.0,41.0,92.0,52.0,185.0
2020/08/16 event_code: x1170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020/08/16 event_code: x160,32.0,0.0,4.0,36.0,4.0,0.0,3.0,7.0,7.0,0.0,9.0,16.0
2020/08/16 event_code: x2540,26.0,0.0,3.0,29.0,35.0,0.0,31.0,66.0,11.0,0.0,10.0,21.0
2020/08/16 event_code: x1540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
